State,Year,population,property_crime_rate,burglary_rate,larceny_rate,motor_theft_rate,violent_crime_rate,assault_rate,murder_rate,rape_rate,robbery_rate,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery,Unemployment_rate
Connecticut,2004,3498966,2684.9,456.1,1908.3,320.5,289.0,144.9,2.9,21.6,119.7,93942,15959,66770,11213,10113,5070,100,755,4188,5.1
Connecticut,2005,3500701,2579.0,435.5,1840.0,303.0,273.0,136.9,3.0,20.3,112.3,90270,15245,64416,10609,9542,4792,105,712,3933,4.8
Connecticut,2006,3504809,2586.1,444.6,1847.9,293.6,299.7,148.7,3.9,19.9,127.3,90638,15583,64765,10290,10505,5212,137,696,4460,4.4
Connecticut,2007,3502309,2470.6,446.6,1739.9,284.1,301.1,155.4,3.2,19.7,122.9,86528,15640,60937,9951,10547,5441,113,690,4303,4.5
Connecticut,2008,3501252,2490.8,431.5,1805.4,253.9,306.7,168.0,3.8,19.4,115.5,87210,15107,63212,8891,10737,5882,132,680,4043,5.6
Connecticut,2009,3518288,2348.4,431.2,1705.1,212.1,300.9,165.5,3.0,18.7,113.7,82625,15172,59992,7461,10588,5824,106,657,4001,8.3
Connecticut,2010,3575498,2188.8,423.6,1577.8,187.4,282.0,162.3,3.7,16.6,99.4,78259,15145,56413,6701,10083,5802,133,595,3553,9.6
Connecticut,2011,3586717,2152.5,431.3,1535.3,186.0,275.7,150.1,3.6,19.2,102.9,77205,15468,55067,6670,9889,5382,129,689,3689,9.0
Connecticut,2012,3590347,2140.0,409.7,1550.7,179.6,283.0,150.6,4.1,25.6,102.7,76834,14711,55674,6449,10160,5408,146,919,3687,8.4
Connecticut,2013,3596080,1974.1,358.5,1442.6,173.0,262.5,135.4,2.4,26.6,98.2,70990,12892,51876,6222,9440,4869,86,955,3530,8.0
Connecticut,2014,3596677,1920.4,332.4,1418.1,169.9,236.9,125.0,2.4,21.7,87.8,69070,11955,51005,6110,8522,4495,86,782,3159,6.6
Connecticut,2015,3590886,1812.0,280.0,1355.5,176.5,218.5,113.1,3.3,21.5,80.5,65066,10053,48675,6338,7845,4063,117,773,2892,5.6
Connecticut,2016,3576452,1808.0,280.9,1328.5,198.7,227.1,128.0,2.2,21.3,75.6,64664,10045,47512,7107,8123,4579,78,763,2703,4.8
Connecticut,2017,3588184,1769.9,247.8,1318.5,203.7,228.0,123.4,2.8,23.3,78.4,63509,8890,47310,7309,8180,4428,102,837,2813,4.4
Connecticut,2018,3572665,1681.0,222.5,1251.8,206.7,207.4,120.2,2.3,23.5,61.4,60055,7948,44724,7383,7411,4294,83,840,2194,3.9
Connecticut,2019,3565287,1426.6,180.7,1078.7,167.3,183.6,105.0,2.9,21.6,54.1,50862,6441,38457,5964,6546,3742,104,771,1929,3.6
Delaware,2000,783600,3793.6,665.6,2725.9,402.1,684.4,449.2,3.2,54.1,177.9,29727,5216,21360,3151,5363,3520,25,424,1394,3.6
Delaware,2001,796599,3439.5,645.7,2444.9,348.9,611.1,410.4,2.9,52.7,145.1,27399,5144,19476,2779,4868,3269,23,420,1156,3.6
